0.05 1.96648008e-03 4.00023181e-02
0.1 2.56335134e-02 1.96109716e-02
0.2 6.93448206e-03 9.27972361e-03
0.3 9.71272809e-02 5.90189782e-03
0.4 3.71599047e-01 7.42120591e-03
0.5 7.88311995e-01 7.42399914e-03
0.6 6.72243695e-01 5.24195663e-03
0.7 4.55599727e-01 3.98390830e-03
0.8 3.41484428e-01 2.90201761e-03
0.9 2.78151555e-01 2.32204302e-03
1.0 2.30843648e-01 1.87816742e-03
1.25 1.59461632e-01 1.08333897e-03
1.5 1.14234224e-01 8.07173449e-04
1.75 8.55937130e-02 6.01790074e-04
2.0 6.63179269e-02 4.46583975e-04
5.0 1.11330492e-02 7.77835615e-05
10.0 2.83318543e-03 2.70263807e-05
