# L = 32.0 Gamma = 0.5 
# X: T
# Y: Energy Density
0.05	-0.5313553134765652 3.748565971026992e-05
0.1	-0.5314824453125043 5.849954690516658e-05
0.2	-0.5311685273437496 7.48476486184708e-05
0.3	-0.5282199316406249 9.738298141616932e-05
0.4	-0.5107085156249989 0.00012275165656793833
0.5	-0.458699443359375 0.0001776547503726233
0.6	-0.3368626523437474 0.00021240384658201812
0.7	-0.2781191484375007 0.00019883229056143697
0.8	-0.23993654687500565 0.0001993892805973693
0.9	-0.21131274609375136 0.0002091794762984266
1.0	-0.18950154296875 0.00018953816927160352
1.25	-0.151240673828125 0.00021209270293833925
1.5	-0.125410869140625 0.0002000913212525913
1.75	-0.107362392578125 0.00020984755147934134
2.0	-0.093820390625 0.00023674488335461086
5.0	-0.03799755859375 0.0003088981874111099
10.0	-0.01895390625 0.0003969807628289617


