# L = 32.0 Gamma = 0.5 
# X: T
# Y: Specific Heat
0.05	0.21997971554398 0.1567778102847988
0.1	-0.04071568316369634 0.0799059664836569
0.2	-0.00220516344121717 0.045720560823110386
0.3	0.026410612112814764 0.026743124578832954
0.4	0.2657618031529534 0.021839195779607468
0.5	0.8745704694904042 0.024161647639750306
0.6	0.7942676950363778 0.020932310772574778
0.7	0.4544852907275393 0.01127744594448625
0.8	0.3355895374174094 0.011354061323315708
0.9	0.23485335088911852 0.008310781996380395
1.0	0.17969369127017387 0.006832080911343617
1.25	0.12934626564389665 0.006315683161744611
1.5	0.08191118718372699 0.004069330418972058
1.75	0.05785371746812345 0.0034224887468652957
2.0	0.04487913718870007 0.0031104405223092504
5.0	0.008012960904960297 0.0011164616255566195
10.0	0.0019972935731806516 0.0005153746090392444


