# L = 32.0 Gamma = 0.8 
# X: T
# Y: Energy Density
0.05	-0.5810807861328138 4.341718398597079e-05
0.1	-0.5812551425781206 6.34923439811804e-05
0.2	-0.5810484921874988 9.706865647144667e-05
0.3	-0.5766317753906263 0.0001117053723134814
0.4	-0.5552358437499976 0.00016873976909868732
0.5	-0.47915569335909053 0.0002674453167438385
0.6	-0.4047338671874984 0.00020965390490904483
0.7	-0.35790296679687233 0.00021845131802388494
0.8	-0.32088243749999934 0.00022302394460830982
0.9	-0.2909683476562516 0.00021772267713710534
1.0	-0.2652671289064819 0.0002543803883668393
1.25	-0.2175527832033281 0.00025742225457987746
1.5	-0.18383305664079824 0.0002407538424803448
1.75	-0.15849030273451764 0.0002569967644828177
2.0	-0.13989750000011328 0.0002860778835965716
5.0	-0.056754980468698334 0.00037648170015384643
10.0	-0.02863300781248698 0.00046002017669002134


