# L = 32.0 Gamma = 0.0 
# X: T
# Y: Energy Density
0.05	-0.499992812500001 2.9151725792744308e-05
0.1	-0.5000194218750053 4.638048301257418e-05
0.2	-0.4998558085937488 6.202126439593967e-05
0.3	-0.4970329433593719 8.560415760502322e-05
0.4	-0.4818261171874998 0.00010996975494161443
0.5	-0.4363849609375 0.00016611476882180958
0.6	-0.3030822460937507 0.00025436197560011847
0.7	-0.22708722460937486 0.000191020018052969
0.8	-0.18615257812499658 0.00016533146391579866
0.9	-0.15940345703125047 0.00014858147855676174
1.0	-0.13936826171875 0.00015222595390379593
1.25	-0.1070082275390625 0.0001569571977624806
1.5	-0.087524541015625 0.00015673999175963108
1.75	-0.073858701171875 0.00016535672083137866
2.0	-0.064151953125 0.0001744254645204565
5.0	-0.025057421875 0.0002450650530489517
10.0	-0.0122623046875 0.00032607476615531176


