# L = 32.0 Gamma = 2.0 
# X: T
# Y: Energy Density
0.05	-1.0334599755859288 8.15961243418434e-05
0.1	-1.0332957695312643 0.00010785517855673085
0.2	-1.032796839843743 0.0001598251723175669
0.3	-1.0280117929687531 0.00020002969583736966
0.4	-1.0155184531249986 0.00022827728306653704
0.5	-0.993859052734375 0.0002812672537734482
0.6	-0.9639512695312594 0.00029828919636949556
0.7	-0.9279069335937435 0.00033276099878656775
0.8	-0.8894737343749887 0.0003506234598483194
0.9	-0.8491067871093733 0.00035250965862460715
1.0	-0.809234921875 0.0003955081574302917
1.25	-0.7154190673828125 0.00043529457181856344
1.5	-0.633995771484375 0.00045706037080446885
1.75	-0.56572365234375 0.000436309128150606
2.0	-0.5091771875 0.0005123987703781418
5.0	-0.22217822265625 0.0005709700066125526
10.0	-0.112352734375 0.0006542129588533097


