# L = 32.0 Gamma = 0.8 
# X: T
# Y: Specific Heat
0.05	-0.11111145473951689 0.19799950202194333
0.1	-0.05384909858040099 0.08604500969440577
0.2	0.013445086127864492 0.05168223900974315
0.3	0.07321221140636054 0.03347460855713425
0.4	0.3777768289838246 0.02257470832958602
0.5	1.2041911929479312 0.03295413757317936
0.6	0.5435441243360665 0.017731418041496468
0.7	0.4092113167242005 0.016316047136670165
0.8	0.3414533099076573 0.011816378592870838
0.9	0.2949442070065372 0.012023786645604165
1.0	0.24222035654555452 0.009906332196881711
1.25	0.16186997993953814 0.007445887124318286
1.5	0.11779262373846287 0.0050011693404425845
1.75	0.08920841073656825 0.004672658148772219
2.0	0.07501437737136518 0.004222663627315222
5.0	0.009190736212082684 0.0014134242788539724
10.0	0.0022545366354382165 0.0005516591780502381


