# L = 32.0 Gamma = 0.0 
# X: T
# Y: Specific Heat
0.05	-0.01533575572180379 0.14223378946907472
0.1	-0.011939530185321345 0.06640997592366556
0.2	0.07038885725390687 0.03258471172660756
0.3	0.07126463392553063 0.02193658587933345
0.4	0.2576254900503159 0.015237638627775102
0.5	0.7176735714442728 0.01709071434533951
0.6	1.259518379278826 0.024289471096909376
0.7	0.5307759154666482 0.010867605671194765
0.8	0.3328506168274017 0.007953620129636218
0.9	0.2217709166673534 0.006486278044689953
1.0	0.16754811273837955 0.005683279940597316
1.25	0.08766867895927188 0.0038380527759843174
1.5	0.06740859373162966 0.0032265077177618595
1.75	0.04750451078484526 0.0026101854576051522
2.0	0.0344952492234043 0.0021420421395912308
5.0	0.005638375407073763 0.0005631816695538922
10.0	0.0013980979965587516 0.0003420190066639772


