# L = 32.0 Gamma = 2.0 
# X: T
# Y: Specific Heat
0.05	0.44014164146836876 0.36050035568853195
0.1	-0.21709298110828357 0.18511305303716144
0.2	-0.1540125710416369 0.08577897899627551
0.3	0.05352906485496218 0.06858548471692796
0.4	0.12403433868042413 0.045281854556770765
0.5	0.26460913283422194 0.03747610471789959
0.6	0.34564812825356606 0.03883107510580354
0.7	0.4225184808025325 0.02921056870395435
0.8	0.41660319008696156 0.025028776026099576
0.9	0.40695900276525526 0.01999052763150167
1.0	0.3964258850737732 0.019523253462568065
1.25	0.37615811587003845 0.01615990422179899
1.5	0.2918917366841003 0.013703435283639938
1.75	0.23406854591928475 0.00908153198303733
2.0	0.20089594503848662 0.010017069129018352
5.0	0.0456336444544529 0.0029913974835368757
10.0	0.012113946446786114 0.0011362228718908662


